[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=388.108, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1029.95, total_ABS_CO2=0.0140696, fitness=1.36605e-05
[t=4000] total_CO2=1982.71, total_ABS_CO2=15.1015, fitness=0.00761657
[UNSTABLE] tau = 100, rho = 2.93829 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.9473 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.04715 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.86181 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.53202 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=87.7405, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=48.5009, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=610.354, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=316.612, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=14.1205, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1679.44, total_ABS_CO2=0.0203952, fitness=1.2144e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=85.3074, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=829.246, total_ABS_CO2=0.0125984, fitness=1.51926e-05
[t=4000] total_CO2=3323.42, total_ABS_CO2=23.686, fitness=0.00712701
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=1581.82, total_ABS_CO2=12.3479, fitness=0.00780614
[t=3000] total_CO2=215.134, total_ABS_CO2=0.00842566, fitness=3.91647e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=397.642, total_ABS_CO2=4.28525, fitness=0.0107767
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 3.2331 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.65572 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=76.6229, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=527.257, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=56.1417, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=83.1469, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=372.845, total_ABS_CO2=0, fitness=0
