[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=908.634, total_ABS_CO2=0.0131664, fitness=1.44903e-05
[t=3000] total_CO2=273.064, total_ABS_CO2=0.00880796, fitness=3.22561e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=1739.37, total_ABS_CO2=13.4393, fitness=0.00772654
[t=4000] total_CO2=507.447, total_ABS_CO2=4.96935, fitness=0.00979284
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[UNSTABLE] tau = 100, rho = 2.15882 fitness = 0 (due to numerical instability)
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=85.7577, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=595.714, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1636.67, total_ABS_CO2=0.0198644, fitness=1.21371e-05
[t=4000] total_CO2=3234.93, total_ABS_CO2=23.1416, fitness=0.00715367
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=45.678, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=296.227, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=27.0643, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=773.109, total_ABS_CO2=0.0122051, fitness=1.5787e-05
[t=2000] total_CO2=168.199, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=1471.17, total_ABS_CO2=11.576, fitness=0.0078686
[t=3000] total_CO2=430.119, total_ABS_CO2=0.00987354, fitness=2.29554e-05
[t=4000] total_CO2=806.593, total_ABS_CO2=6.94848, fitness=0.00861461
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=34.0765, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=215.092, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=554.007, total_ABS_CO2=0.010709, fitness=1.93301e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=1044.62, total_ABS_CO2=8.58935, fitness=0.00822245
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=84.5411, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=586.671, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1610.15, total_ABS_CO2=0.0195452, fitness=1.21387e-05
[t=1000] total_CO2=16.5212, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3179.93, total_ABS_CO2=22.8022, fitness=0.00717067
[t=2000] total_CO2=100.598, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=254.435, total_ABS_CO2=0.00868051, fitness=3.41169e-05
[t=4000] total_CO2=472.135, total_ABS_CO2=4.74479, fitness=0.0100497
[UNSTABLE] tau = 100, rho = 2.77462 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.26803 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.01807 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.46009 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=26.2666, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=162.964, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=89.6174, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=416.399, total_ABS_CO2=0.00978092, fitness=2.34893e-05
[t=2000] total_CO2=623.91, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=780.351, total_ABS_CO2=6.77037, fitness=0.00867606
[t=3000] total_CO2=1718.62, total_ABS_CO2=0.0208945, fitness=1.21577e-05
[t=4000] total_CO2=3403.97, total_ABS_CO2=24.1771, fitness=0.00710261
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=30.8905, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=193.587, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=496.969, total_ABS_CO2=0.0103243, fitness=2.07746e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=934.785, total_ABS_CO2=7.82738, fitness=0.00837346
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=60.2435, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=403.525, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1074, total_ABS_CO2=0.014411, fitness=1.34181e-05
[t=4000] total_CO2=2071.87, total_ABS_CO2=15.7022, fitness=0.00757875
[UNSTABLE] tau = 100, rho = 2.33532 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=81.2172, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=86.0373, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=88.5432, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=561.823, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=616.222, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=597.787, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=86.2658, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1642.74, total_ABS_CO2=0.0199385, fitness=1.21374e-05
[t=2000] total_CO2=599.479, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=3247.5, total_ABS_CO2=23.2191, fitness=0.00714984
[t=3000] total_CO2=1647.69, total_ABS_CO2=0.0199994, fitness=1.21378e-05
[t=1000] total_CO2=56.2571, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=373.704, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3257.76, total_ABS_CO2=23.2823, fitness=0.00714671
[t=3000] total_CO2=1696.5, total_ABS_CO2=0.020612, fitness=1.21497e-05
[t=3000] total_CO2=989.031, total_ABS_CO2=0.0137594, fitness=1.3912e-05
[t=4000] total_CO2=3358.6, total_ABS_CO2=23.9016, fitness=0.00711654
[t=3000] total_CO2=1537.05, total_ABS_CO2=0.0187037, fitness=1.21686e-05
[t=4000] total_CO2=1900.28, total_ABS_CO2=14.542, fitness=0.00765254
[t=4000] total_CO2=3027.99, total_ABS_CO2=21.8606, fitness=0.00721951
[UNSTABLE] tau = 100, rho = 3.00441 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.07042 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=88.9108, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=63.6824, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=618.887, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=429.419, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1148.58, total_ABS_CO2=0.0150088, fitness=1.30673e-05
[t=4000] total_CO2=2223.72, total_ABS_CO2=16.7144, fitness=0.0075164
[t=3000] total_CO2=1704.21, total_ABS_CO2=0.0207107, fitness=1.21527e-05
[t=4000] total_CO2=3374.47, total_ABS_CO2=23.9986, fitness=0.00711181
[UNSTABLE] tau = 100, rho = 3.24023 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.29441 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=60.0154, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=401.812, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=76.9473, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=56.5319, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1069.1, total_ABS_CO2=0.0143726, fitness=1.34437e-05
[t=2000] total_CO2=529.703, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=375.751, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=20y)
[t=1000] total_CO2=67.9183, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=461.435, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1241.66, total_ABS_CO2=0.0157962, fitness=1.27218e-05
[t=4000] total_CO2=2414.79, total_ABS_CO2=17.9681, fitness=0.00744086
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.19139 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.15257 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.56951 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=35.9859, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=228.141, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=588.815, total_ABS_CO2=0.0109442, fitness=1.85868e-05
[t=4000] total_CO2=1111.88, total_ABS_CO2=9.05864, fitness=0.00814717
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=68.9606, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=469.324, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1264.72, total_ABS_CO2=0.0159993, fitness=1.26504e-05
[t=4000] total_CO2=2462.35, total_ABS_CO2=18.2769, fitness=0.00742252
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=78.9258, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=544.608, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1486.29, total_ABS_CO2=0.018151, fitness=1.22123e-05
[t=4000] total_CO2=2922.33, total_ABS_CO2=21.2016, fitness=0.00725502
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.8929, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=84.2561, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=54.6928, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=212.418, total_ABS_CO2=0.00839197, fitness=3.95068e-05
[t=2000] total_CO2=362.078, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=392.609, total_ABS_CO2=4.24785, fitness=0.0108195
[t=3000] total_CO2=956.183, total_ABS_CO2=0.0135146, fitness=1.41339e-05
[t=4000] total_CO2=1834.37, total_ABS_CO2=14.092, fitness=0.00768217
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=25.1089, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=155.404, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=30.0793, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=78.2005, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=396.62, total_ABS_CO2=0.00964729, fitness=2.43237e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=83.8924, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=742.56, total_ABS_CO2=6.51513, fitness=0.00877388
[t=2000] total_CO2=188.165, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=539.148, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_C.0072095
[t=4000] total_CO2=2908.34, total_ABS_CO2=21.114, fitness=0.00725982
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=77.0463, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=530.45, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1444.52, total_ABS_CO2=0.0177144, fitness=1.22632e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=2835.37, total_ABS_CO2=20.6562, fitness=0.00728518
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=21.3225, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=130.967, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=69.8036, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=332.968, total_ABS_CO2=0.00921604, fitness=2.76785e-05
[t=2000] total_CO2=475.704, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=621.237, total_ABS_CO2=5.70741, fitness=0.00918718
[t=3000] total_CO2=1283.41, total_ABS_CO2=0.0161664, fitness=1.25964e-05
[t=4000] total_CO2=2500.95, total_ABS_CO2=18.5264, fitness=0.00740775
[UNSTABLE] tau = 100, rho = 3.10671 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.36649 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.14537 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.37748 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=87.309, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=29.3271, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=67.1587, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=607.183, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=183.156, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=455.689, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1670.2, total_ABS_CO2=0.0202789, fitness=1.21416e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=469.44, total_ABS_CO2=0.0101388, fitness=2.15975e-05
[t=3000] total_CO2=1224.89, total_ABS_CO2=0.0156506, fitness=1.27771e-05
[t=1000] total_CO2=82.8812, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3304.32, total_ABS_CO2=23.5687, fitness=0.0071327
[t=4000] total_CO2=881.928, total_ABS_CO2=7.46337, fitness=0.00846257
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2380.25, total_ABS_CO2=17.7431, fitness=0.0074543
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=574.284, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1573.74, total_ABS_CO2=0.0191192, fitness=1.21489e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=3104.31, total_ABS_CO2=22.3344, fitness=0.00719463
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.75667 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.71556 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.61723 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.04312 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.54107 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=74.2183, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=509.099, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1381.56, total_ABS_CO2=0.0170852, fitness=1.23665e-05
[t=1000] total_CO2=85.4419, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=71.1595, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=86.3076, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2704.44, total_ABS_CO2=19.8289, fitness=0.00733199
[t=2000] total_CO2=593.371, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=485.965, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=599.788, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1629.8, total_ABS_CO2=0.019781, fitness=1.21371e-05
[t=3000] total_CO2=1313.51, total_ABS_CO2=0.0164406, fitness=1.25166e-05
[t=3000] total_CO2=1648.6, total_ABS_CO2=0.0200105, fitness=1.21379e-05
[t=4000] total_CO2=3220.7, total_ABS_CO2=23.0538, fitness=0.00715803
[t=4000] total_CO2=2563.24, total_ABS_CO2=18.9275, fitness=0.00738421
[t=4000] total_CO2=3259.63, total_ABS_CO2=23.2938, fitness=0.00714614
[UNSTABLE] tau = 100, rho = 3.15615 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.07505 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.3738 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=88.366, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=614.931, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1692.76, total_ABS_CO2=0.0205642, fitness=1.21483e-05
[t=4000] total_CO2=3350.88, total_ABS_CO2=23.8544, fitness=0.00711884
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=52.8611, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=348.531, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=918.105, total_ABS_CO2=0.0132352, fitness=1.44158e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=1758.26, total_ABS_CO2=13.5694, fitness=0.00771753
[t=1000] total_CO2=16.5747, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=65.2883, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=100.933, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=48.1956, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=441.546, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=255.298, total_ABS_CO2=0.00868642, fitness=3.40247e-05
[t=2000] total_CO2=314.396, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1183.73, total_ABS_CO2=0.0153004, fitness=1.29256e-05
[t=4000] total_CO2=473.769, total_ABS_CO2=4.75514, fitness=0.0100368
[t=3000] total_CO2=823.121, total_ABS_CO2=0.0125552, fitness=1.52532e-05
[t=4000] total_CO2=2295.69, total_ABS_CO2=17.1892, fitness=0.00748758
[t=4000] total_CO2=1569.72, total_ABS_CO2=12.2637, fitness=0.00781266
[UNSTABLE] tau = 100, rho = 3.01866 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.07665 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=82.9007, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=574.429, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1574.17, total_ABS_CO2=0.0191241, fitness=1.21487e-05
[t=4000] total_CO2=3105.2, total_ABS_CO2=22.3399, fitness=0.00719434
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
